address_details;city;employee_size;id;keywords;municipality;name;path;searchwords;trade_id;trade_name;workplace_name
Åsebro Skola, Mellerud;Mellerud;1000-1499;1850580;;80;Melleruds Kommun;companies/show/1850580;;2060;Grundskoleutbildning och förskoleklass;Åsebro Skola
Algatan 1, Mellerud;Mellerud;1000-1499;1850581;;80;Melleruds Kommun;companies/show/1850581;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Boendestöd Villa Kvarnen
Karolinervägen 19, Dals Rostock;Dals Rostock;1000-1499;1850582;;80;Melleruds Kommun;companies/show/1850582;;2060;Grundskoleutbildning och förskoleklass;Karolinerskolan
Kärragatan 18, Mellerud;Mellerud;1000-1499;1850583;;80;Melleruds Kommun;companies/show/1850583;;1539;Övriga anläggningsarbeten;Kommunförråd
, Mellerud;Dals Rostock;1000-1499;1850584;;80;Melleruds Kommun;companies/show/1850584;;1514;Insamling av icke-farligt avfall;Hunnebyns Avfallsanläggning
Kroppefjällshemmet 1-2, Dals Rostock;Dals Rostock;1000-1499;1850585;;80;Melleruds Kommun;companies/show/1850585;;2114;Vård och omsorg i särskilda boendeformer för äldre;Kroppefjällshemmet
Gerdsrud Skräcklan 5, Mellerud;Mellerud;1000-1499;1850586;;80;Melleruds Kommun;companies/show/1850586;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Gruppbostad Gården
Parkgatan 6, Mellerud;Mellerud;1000-1499;1850587;;80;Melleruds Kommun;companies/show/1850587;;2132;Artistisk verksamhet;Kulturbruket På Dal
P D Lundgrensgatan 10, Mellerud;Mellerud;1000-1499;1850588;;80;Melleruds Kommun;companies/show/1850588;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Gruppbostad P D Lundgrensgatan
Norra Kungsgatan 1, Mellerud;Mellerud;1000-1499;1850589;;80;Melleruds Kommun;companies/show/1850589;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Trygghetsboende Axet
Kyrkogatan 5, Mellerud;Mellerud;1000-1499;1850590;;80;Melleruds Kommun;companies/show/1850590;;2114;Vård och omsorg i särskilda boendeformer för äldre;Bergs Äldreboende och Hemsjukvård
Karolinervägen 19, Dals Rostock;Dals Rostock;1000-1499;1850591;;80;Melleruds Kommun;companies/show/1850591;;2058;Förskoleutbildning;Kroppefjälls Barnstuga
Odengatan 35 A, Mellerud;Mellerud;1000-1499;1850592;;80;Melleruds Kommun;companies/show/1850592;;2058;Förskoleutbildning;Markusgården Förskola
, Mellerud;Mellerud;1000-1499;1850593;;80;Melleruds Kommun;companies/show/1850593;;2121;Öppna sociala insatser för äldre personer;Kommunkontor
Norra Skälebol Mon 1, Mellerud;Mellerud;0;1850594;;80;Rylander, Bengt Uno;companies/show/1850594;;1098;Blandat jordbruk;
Linnégatan 54, Mellerud;Mellerud;1000-1499;1850595;;80;Melleruds Kommun;companies/show/1850595;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Servicebostad Linnegatan
, Mellerud;Mellerud;1000-1499;1850596;;80;Melleruds Kommun;companies/show/1850596;;1511;Avloppsrening;Va Verk
Rostocksgatan 31, Mellerud;Mellerud;1000-1499;1850597;;80;Melleruds Kommun;companies/show/1850597;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Gruppbostad Rostocksgatan
Storgatan 17, Mellerud;Mellerud;1000-1499;1850598;;80;Melleruds Kommun;companies/show/1850598;;2065;Kommunal vuxenutbildning o.d.;Arbetsmarknadsenhet, Lär och Utveck
Magasinsgatan 37, Mellerud;Mellerud;1000-1499;1850599;;80;Melleruds Kommun;companies/show/1850599;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Gruppbostad Magasinsgatan
Kvarnvägen 6, Åsensbruk;Åsensbruk;1000-1499;1850600;;80;Melleruds Kommun;companies/show/1850600;;2058;Förskoleutbildning;Förskola Tallåsen
Odengatan 63, Mellerud;Mellerud;1000-1499;1850601;;80;Melleruds Kommun;companies/show/1850601;;2122;Öppna sociala insatser för personer med funktionshinder;Dagcenter Frykens Träcenter
Långgatan 32 A, Mellerud;Mellerud;1000-1499;1850602;;80;Melleruds Kommun;companies/show/1850602;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Servicebostad Långgatan
Södra Kungsgatan 7, Mellerud;Mellerud;1000-1499;1850603;;80;Melleruds Kommun;companies/show/1850603;;2138;Biblioteksverksamhet;Bibliotek och Utställningsavdelning
Storgatan, Mellerud;Mellerud;1000-1499;1850604;;80;Melleruds Kommun;companies/show/1850604;;2122;Öppna sociala insatser för personer med funktionshinder;Utegruppen Cafe och Butik
Bringsrovägen 36, Dals Rostock;Dals Rostock;1000-1499;1850605;;80;Melleruds Kommun;companies/show/1850605;;2110;Boende med särskild service för personer med utvecklingsstörning, psykiska funktionshinder eller missbruksproblem;Gruppbostad Blåklinten Kök Karoline
Storgatan 79, Mellerud;Mellerud;1000-1499;1850607;;80;Melleruds Kommun;companies/show/1850607;;2060;Grundskoleutbildning och förskoleklass;Fagerlidsskolan
Aspgatan 15, Mellerud;Mellerud;1000-1499;1850608;;80;Melleruds Kommun;companies/show/1850608;;2114;Vård och omsorg i särskilda boendeformer för äldre;Fagerlidshemmet
Parkgatan 8, Mellerud;Mellerud;1000-1499;1850609;;80;Melleruds Kommun;companies/show/1850609;;2064;Studieförberedande gymnasial utbildning;Dahlstiernska Gymnasiet
Algatan 8, Mellerud;Mellerud;;1850611;;80;"Pejo &amp; Co AB";companies/show/1850611;;1961;Övrig reklamverksamhet;
Gatan 13, Mellerud;Mellerud;0;1850613;;80;Pettersson, Lars Johan Håkan;companies/show/1850613;;1239;Tillverkning av monteringsfärdiga trähus;
Mellerudsgatan 10, Mellerud;Mellerud;0;1850614;frisör frisörer frissa hårklippning;80;Christina Karlsson Klipper;companies/show/1850614;;2187;Hårvård;
Ör Hällan 2, Mellerud;Mellerud;0;1850615;snickare;80;Eriksson, Per Bertil Lennart;companies/show/1850615;;1555;Byggnadssnickeriarbeten;
Norra Kungsgatan 1, Mellerud;Mellerud;3000-3999;1850619;;80;Apotek Hjärtat AB;companies/show/1850619;;1726;Apotekshandel;Apotek Hjärtat
Verkstadsgatan 4, Mellerud;Mellerud;1-4;1850620;;80;Melleruds Färg AB;companies/show/1850620;;1694;Specialiserad butikshandel med färger, fernissor och lacker;
Storgatan 16, Mellerud;Mellerud;10-19;1850621;;80;AB Melleruds Bostäder;companies/show/1850621;;1919;Uthyrning och förvaltning av egna eller arrenderade bostäder;
Frestersbyn Ör, Mellerud;Mellerud;50-99;1850624;;80;AB Örs Cementgjuteri;companies/show/1850624;;1332;Tillverkning av betongvaror för byggändamål;
Qvantenburgs Säteri 1, Mellerud;Mellerud;5-9;1850625;;80;Dalslands Gris AB;companies/show/1850625;;1090;Uppfödning av slaktsvin;
Byggmästargatan 4, Mellerud;Mellerud;1-4;1850626;;80;Melleruds Ytbehandling AB;companies/show/1850626;;1377;Beläggning och överdragning av metall;
Kyrkogatan 2, Mellerud;Mellerud;0;1850627;;80;Vivian Johansen Dalslands Skylt o Reklam;companies/show/1850627;;1959;Reklambyråverksamhet;
Erikstad Kärr 1, Mellerud;Mellerud;0;1850631;;80;"Södra Kärr&#39;s Lantbruk Handelsbolag";companies/show/1850631;;1098;Blandat jordbruk;
Nygårdsåker Näset 1, Mellerud;Mellerud;0;1850632;;80;Eriksson, Gösta Anders Magnus;companies/show/1850632;;1089;Uppfödning av smågrisar;
Kuseruds Gård 1, Mellerud;Mellerud;0;1850633;;80;Andersson, Rune Göran;companies/show/1850633;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Box 103, Mellerud;Mellerud;500-999;1850636;;80;Fonus, Ekonomisk Förening;companies/show/1850636;;2189;Begravningsverksamhet;Fonus Mellerud
Bolstad Ängebacken 1, Mellerud;Mellerud;0;1850638;;80;Palm, Erik Gustav Sigvard;companies/show/1850638;;1098;Blandat jordbruk;
Södergatan 15, Mellerud;Mellerud;0;1850642;;80;"West-Bike Motor &amp; Service";companies/show/1850642;;1582;Handel med och service av motorcyklar inklusive reservdelar och tillbehör;
Qvantenburgs Säteri 1, Mellerud;Mellerud;5-9;1850645;;80;Qvantenburgs Säteri AB;companies/show/1850645;;1098;Blandat jordbruk;
Anolfsbyn Adamserud 3, Mellerud;Mellerud;0;1850647;;80;Redovisningsbyrån Falk Ekonomi i Mellerud AB;companies/show/1850647;;1114;Övrig service till skogsbruk;
Svalungebyn 3, Mellerud;Mellerud;0;1850649;;80;Henriksson, Tomas Charles Joakim;companies/show/1850649;;1945;Teknisk konsultverksamhet inom bygg och anläggningsteknik;
Bråna, Mellerud;Mellerud;1-4;1850650;;80;Wallins Lantbruk AB;companies/show/1850650;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Box 72, Mellerud;Mellerud;;1850651;;80;Österråda Ekonomikonsult AB;companies/show/1850651;;1933;Redovisning och bokföring;
Södra Östebo 4, Håverud;Håverud;;1850652;;80;Hellerström Informationskonsult;companies/show/1850652;;1939;Pr och kommunikation;
Hjalmars väg 2, Dals Rostock;Dals Rostock;200-499;1850653;;80;Joab Försäljnings AB;companies/show/1850653;;1451;Tillverkning av andra delar och tillbehör till motorfordon och motorer;
Sapphultsgatan, Mellerud;Mellerud;0;1850655;;80;Fritzéns Maskin Fastighets Handelsbolag;companies/show/1850655;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Trollungebyn 3, Dalskog;Dalskog;0;1850660;;80;Eriksson, Ulla Ingegärd;companies/show/1850660;;1831;Cateringverksamhet vid enskilda evenemang;
Östevatten 11, Mellerud;Mellerud;0;1850665;;80;Bengtsson, Anders Lennart;companies/show/1850665;;1098;Blandat jordbruk;
Guttvik 1, Mellerud;Mellerud;0;1850667;;80;Olin, Jean Olof Valdemar;companies/show/1850667;;1098;Blandat jordbruk;
Anolfsbol 7, Mellerud;Mellerud;0;1850668;;80;Pettersson, Lars Åke Gunnar;companies/show/1850668;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Karlsfält 1, Mellerud;Mellerud;1-4;1850673;;80;Magnusson, Lars Helge;companies/show/1850673;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Mossen 3, Mellerud;Mellerud;0;1850676;Åkeri;80;Sandberg, Stig Evald;companies/show/1850676;;1775;Vägtransport, godstrafik;
Söbyn 2, Mellerud;Mellerud;0;1850678;;80;Hjalmarsson, Lars Erik Lennart;companies/show/1850678;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Ör Högen 10, Mellerud;Mellerud;0;1850681;;80;Granats Maskinservice;companies/show/1850681;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Östevatten 1, Mellerud;Mellerud;0;1850685;"bilverkstad
bilreparation
bilreparationer
bilservice
";80;Alfredsson, Mikael Per Åke;companies/show/1850685;;1575;Allmän service och reparation av motorfordon utom motorcyklar;
Svankila Edet 1, Köpmannebro;Köpmannebro;0;1850687;;80;Johansson, Sigvard Jan Rickard;companies/show/1850687;;1114;Övrig service till skogsbruk;
Bolstad Torp Iblyckan 1, Mellerud;Mellerud;0;1850688;;80;Andersson, Lars Olof Bertil;companies/show/1850688;;1098;Blandat jordbruk;
Atterud 1, Mellerud;Mellerud;0;1850689;;80;"K-E:s Bil &amp; Däck";companies/show/1850689;;1098;Blandat jordbruk;
Örs Prästgård 3, Mellerud;Mellerud;0;1850693;"akupunktur
sjukgymnastik
fotvård
kiropraktor";80;Svenska Institutet För Integrativ Zonterapi Hand;companies/show/1850693;;2105;Fysioterapeutisk verksamhet o.d;
Lapperud Snäckerud 1, Dalskog;Dalskog;0;1850699;elektriker;80;Dals Elservice;companies/show/1850699;;1546;Elinstallationer;
Gunvarbyn 2, Mellerud;Mellerud;0;1850700;;80;Svensson, Bror Klas-Peter;companies/show/1850700;;1068;Odling av övriga ett- och tvååriga växter;
Kurravägen 7, Mellerud;Mellerud;5-9;1850703;Åkeri;80;Bengan Brobergs Åkeri AB;companies/show/1850703;;1775;Vägtransport, godstrafik;
Vena Säby 3, Mellerud;Mellerud;0;1850705;;80;Karlsson, Agneta Birgitta;companies/show/1850705;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Södra Bränna 1, Åsensbruk;Åsensbruk;0;1850706;;80;Edsberger, Anders Lars-Olof;companies/show/1850706;;1098;Blandat jordbruk;
Svärdsviken 1, Köpmannebro;Köpmannebro;0;1850708;;80;Tinas Medial Vägledning;companies/show/1850708;;2191;Övriga konsumenttjänster;
Karolinervägen 11, Dals Rostock;Dals Rostock;0;1850709;;80;Olsson, Bo Lennart;companies/show/1850709;;1120;Sötvattensfiske;
Svecklingebyn Grinden 1, Mellerud;Mellerud;0;1850710;;80;Janséns Maskin;companies/show/1850710;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Järn Korsgården 1, Mellerud;Mellerud;0;1850711;;80;Sundström, Helena Margareta;companies/show/1850711;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Västanväga 1, Mellerud;Mellerud;0;1850712;;80;Johansson, Lars Göran;companies/show/1850712;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Örnäs 2, Mellerud;Mellerud;0;1850713;snickare;80;Larsson, Hans Mikael;companies/show/1850713;;1555;Byggnadssnickeriarbeten;
Gerdsrud 13, Mellerud;Mellerud;0;1850714;;80;Lidberg, Johnny Carl-Johan;companies/show/1850714;;1567;Övrig specialiserad bygg- och anläggningsverksamhet;
Anolfsbol 1, Mellerud;Mellerud;0;1850715;;80;Lantz, Carl Ingemar;companies/show/1850715;;1098;Blandat jordbruk;
Bäckens Gård 1, Mellerud;Mellerud;1-4;1850716;;80;Gajan Biogas AB;companies/show/1850716;;1504;Framställning av gas;
Ransbergsvägen 28, Köpmannebro;Köpmannebro;;1850717;snickare;80;Köpmannebro Allbygg AB;companies/show/1850717;;1555;Byggnadssnickeriarbeten;
Bolstad Torp 12, Mellerud;Mellerud;1-4;1850718;;80;Cugnot AB;companies/show/1850718;;2134;Litterärt och konstnärligt skapande;
Ör Torp, Mellerud;Mellerud;1-4;1850719;;80;Auto-Gruppen i VästSverige AB;companies/show/1850719;;1580;Parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar;
Landsvägsgatan 9, Mellerud;Mellerud;0;1850724;;80;BF Nöje;companies/show/1850724;;2133;Stödtjänster till artistisk verksamhet;
Rud Håltane, Mellerud;Mellerud;10-19;1850727;;80;Byggstål Mellerud AB;companies/show/1850727;;1375;Smidning, pressning, prägling och valsning av metall pulvermetallurgi;
Gillesbyns Gård 1, Mellerud;Mellerud;1-4;1850730;;80;Gillesbyns Gård AB;companies/show/1850730;;1098;Blandat jordbruk;
Gerdsrud 11, Mellerud;Mellerud;0;1850731;;80;Edén, Maj Kerstin Susanne;companies/show/1850731;;1098;Blandat jordbruk;
Högstorp Korpås 1, Mellerud;Mellerud;0;1850732;;80;Pettersson, Börje Eskil;companies/show/1850732;;1098;Blandat jordbruk;
Teåker Gråbo 1, Bäckefors;Bäckefors;0;1850733;;80;Jonasson, Lars Anders Stefan;companies/show/1850733;;1107;Skogsförvaltning;
Assareby Berga Grankullen 1, Mellerud;Mellerud;0;1850735;;80;Johansson, Karl Kenneth;companies/show/1850735;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Högängen 1, Mellerud;Mellerud;0;1850736;;80;Olsson, Karl Anders Bertil;companies/show/1850736;;1083;Mjölkproduktion och uppfödning av nötkreatur och mjölkras;
Smedsberg 1, Mellerud;Mellerud;0;1850737;;80;Lans, Sven Anders Mikael;companies/show/1850737;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Håltane Storängen 1, Mellerud;Mellerud;0;1850738;;80;Björk, Björn Lennart Per-Inge;companies/show/1850738;;1378;Metallegoarbeten;
Österråda Vallbo 1, Mellerud;Mellerud;0;1850746;;80;Göran Fredrikssons Entreprenadfirma;companies/show/1850746;;1920;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
Sapphultsgatan 14, Mellerud;Mellerud;5-9;1850748;;80;Peter Svensson Plåtslageri i Mellerud AB;companies/show/1850748;;1378;Metallegoarbeten;
Box 124, Mellerud;Mellerud;;1850749;;80;Roslinds Förvaltning AB;companies/show/1850749;;1907;Verksamhet utförd av värdepappers- och varumäklare;
Ryrsvägen 16, Köpmannebro;Köpmannebro;0;1850751;;80;Mueller, Tanja;companies/show/1850751;;1740;Övrig specialiserad butikshandel;
Östevatten, Mellerud;Mellerud;;1850752;;80;Pytec AB;companies/show/1850752;;1084;Uppfödning av andra nötkreatur och bufflar;
Södra Östanå 1, Mellerud;Mellerud;1-4;1850753;;80;Blomgrens Fastigheter AB;companies/show/1850753;;1919;Uthyrning och förvaltning av egna eller arrenderade bostäder;
Fagerlidsgatan 5, Mellerud;Mellerud;0;1850758;;80;Johansson, Ulf Viktor;companies/show/1850758;;1107;Skogsförvaltning;
Näs Stenlyckan 1, Mellerud;Mellerud;0;1850761;;80;Svensson, Anders Gunnar Robert;companies/show/1850761;;1090;Uppfödning av slaktsvin;
Västra Lindstorp 1, Mellerud;Mellerud;0;1850762;;80;Andersson, Göran Hjalmar;companies/show/1850762;;1921;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
Årbol 8, Dalskog;Dalskog;0;1850763;Åkeri;80;Thomas Jakobssons Åkeri;companies/show/1850763;;1775;Vägtransport, godstrafik;
Heden 8, Dalskog;Dalskog;0;1850765;;80;Zonart Join;companies/show/1850765;;1940;Konsultverksamhet avseende företags organisation;
Backa 1, Dals Rostock;Dals Rostock;1-4;1850767;;80;Backa Entreprenad o Konsult AB;companies/show/1850767;;1646;Partihandel med bränslen;
Ryttargatan 8, Mellerud;Mellerud;0;1850769;;80;Andreasson, Leif Evald;companies/show/1850769;;1084;Uppfödning av andra nötkreatur och bufflar;
Siribyn 6, Mellerud;Mellerud;0;1850770;;80;Andersson, Monica Elisabet;companies/show/1850770;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Storgatan 54, Mellerud;Mellerud;5-9;1850771;livsmedelsaffär;80;Kvarnkullens Livs i Mellerud AB;companies/show/1850771;;1668;Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad;Hemköp
Norra Hagen 7, Mellerud;Mellerud;0;1850772;;80;Andersson, Sölve Roger;companies/show/1850772;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Ör Högen 8, Mellerud;Mellerud;0;1850774;;80;Firma Gunnar Granat;companies/show/1850774;;1528;Byggande av bostadshus och andra byggnader;
Hällebäck 6, Mellerud;Mellerud;0;1850775;"Rörmokare
rörmokeri";80;"Melleruds Rör &amp; Värme";companies/show/1850775;;1548;Värme- och sanitetsarbeten;
Dalbergså 7, Mellerud;Mellerud;0;1850777;;80;Nilsson, Lars Bertil William;companies/show/1850777;;1098;Blandat jordbruk;
Svecklingebyn 4, Mellerud;Mellerud;0;1850778;;80;Hjälte, Leif Roine Birger;companies/show/1850778;;1100;Service till växtodling;
Östevatten 14, Mellerud;Mellerud;0;1850783;;80;Herbertsson, Conny Bernt-Åke;companies/show/1850783;;1084;Uppfödning av andra nötkreatur och bufflar;
Östra Vässby 1, Mellerud;Mellerud;;1850786;;80;Vedbyholm Lantbruk AB;companies/show/1850786;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Box 94, Mellerud;Mellerud;20-49;1850789;;80;Melleruds Pastorat;companies/show/1850789;;2168;Verksamhet i religiösa samfund;Kyrkans Hus
Box 94, Mellerud;Mellerud;20-49;1850796;;80;Melleruds Pastorat;companies/show/1850796;;2168;Verksamhet i religiösa samfund;Holms Kyrka Kyrkogård
Nygården 10, Mellerud;Mellerud;0;1850805;;80;Mårtensson, Bror Conway;companies/show/1850805;;1098;Blandat jordbruk;
Oxgatan 39, Mellerud;Mellerud;0;1850813;;80;Ove Anderssons Byggtjänst;companies/show/1850813;;1528;Byggande av bostadshus och andra byggnader;
Bredgården Bergen 2, Mellerud;Mellerud;0;1850814;;80;Svensson, Sven Jan;companies/show/1850814;;1055;Odling av spannmål (utom ris), baljväxter och oljeväxter;
Ransbergsvägen 36, Köpmannebro;Köpmannebro;0;1850815;;80;Boquist, Bengt Olof;companies/show/1850815;;1945;Teknisk konsultverksamhet inom bygg och anläggningsteknik;
Storgatan 34  Lgh 1102, Vänersborg;Mellerud;0;1850825;;80;Andrén, Karin Dagmar Annette;companies/show/1850825;;1098;Blandat jordbruk;
Äckerud Gossane 1, Mellerud;Mellerud;1-4;1850829;;80;Ingvarsson, Dan Joakim;companies/show/1850829;;1068;Odling av övriga ett- och tvååriga växter;
Gillesbyn Venaström 1, Mellerud;Mellerud;0;1850835;;80;Ervings Gräv;companies/show/1850835;;1566;Uthyrning av bygg- och anläggningsmaskiner med förare;
Ymers gata 1, Mellerud;Mellerud;10-19;1850836;;80;B.On Plåtbearbetning AB;companies/show/1850836;;1920;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
